Hierarchical Location Facet Mapping; v.1.1				
Voyager Display Name	Suppress	Call# (852$khim)	Holding Note (852$z)	Facet Display Name
Adelson Library (Lab of Ornithology)				Adelson Library > Main Collection
Adelson Library Reference (Lab of Ornithology)				Adelson Library > Reference
Museum of Vertebrates (Lab of Ornithology) (non-circulating)				Adelson Library > Museum of Vertebrates
Macaulay Library (Lab of Ornithology) (Non-circulating)				Adelson Library > Macaulay Library
Ornithology Circulation				Adelson Library > Circulation
Africana Library (Africana Center)			new book	Africana Library > New Books Shelf
Africana Library (Africana Center)				Africana Library > Main Collection
Africana Library Reference ( Non-Circulating)				Africana Library > Reference
Africana Library Reserve 				Africana Library > Reserve
Bailey Hortorium (ask at Mann Library Circulation)				Bailey Hortorium > Main Collection
Bailey Hortorium Reference (Non-Circulating)				Bailey Hortorium > Reference
CISER Data Archive				CISER Data Archive
Fine Arts Circulation 				Fine Arts Library > Circulation
Fine Arts Library (Rand Hall)				Fine Arts Library > Main Collection
Fine Arts Library Reference (Non-Circulating)		Artist		Fine Arts Library > Artists' Books
Fine Arts Library Reference (Non-Circulating)				Fine Arts Library > Reference
Fine Arts Library Permanent Reserve				Fine Arts Library > Reserve
Fine Arts Course Reserve (Ask at Circulation)				Fine Arts Library > Reserve
Fine Arts Library Reserve				Fine Arts Library > Reserve
ILR Library (Ives Hall)				ILR Library > Main Collection
ILR Library Reference (Non-Circulating)		Labor Law		ILR Library > Labor Law Reference
ILR Library Reference (Non-Circulating)				ILR Library > Reference
ILR Library Reserve 				ILR Library > Reserve
ILR Multi-Copy Storage				ILR Library > Main Collection
ILR Library Kheel Center				ILR Library Kheel Center > Main Collection
ILR Library Kheel Center (Non-Circulating)				ILR Library Kheel Center > Main Collection
ILR Library Kheel Center (Request in advance)				ILR Library Kheel Center > Main Collection
ILR Library Kheel Center Reference 				ILR Library Kheel Center > Reference
ILR Library Kheel Center Reference (Non-Circulating)				ILR Library Kheel Center > Reference
"Asia Reserve, Severinghouse Reading Rm., Kroch Library"				Kroch Library Asia > Reserve
Kroch Library Asia				Kroch Library Asia > Main Collection
Kroch Library Asia Reference (Non-Circulating)				Kroch Library Asia > Reference
RMC Technical Services	X			Kroch Library Rare & Manuscripts > Technical Services
Kroch Library Rare & Manuscripts (Non-Circulating)				Kroch Library Rare & Manuscripts > Main Collection
Kroch Library Rare & Manuscripts (Request in advance)				Kroch Library Rare & Manuscripts > Request in Advance
Kroch Library Rare & Manuscripts Reference (Non-Circulating)				Kroch Library Rare & Manuscripts > Reference
Law Library (Myron Taylor Hall)				Law Library > Main Collection
Law Library (Myron Taylor Hall) Rare Books				Law Library > Rare Books
Law Library Rare--Request in advance at Law Circulation Desk				Law Library > Request in Advance
Law Library Reference (Non-Circulating)				Law Library > Reference
Law Library Reserve				Law Library > Reserve
Law Library Technical Services 				Law Library > Technical Services
